pair_id,rule_name,pattern,change_type,expected_flag,source_rule
gen001,gen001_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_hktl_crackmapexec_execution_patterns.yml
gen002,gen002_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_hktl_crackmapexec_execution_patterns.yml
gen003,gen003_unchanged,unchanged,not_weakened,no,proc_creation_win_hktl_crackmapexec_execution_patterns.yml
gen004,gen004_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_hktl_crackmapexec_execution_patterns.yml
gen005,gen005_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_certoc_download.yml
gen006,gen006_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_certoc_download.yml
gen007,gen007_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_certoc_download.yml
gen008,gen008_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_certoc_download.yml
gen009,gen009_unchanged,unchanged,not_weakened,no,proc_creation_win_certoc_download.yml
gen010,gen010_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_certoc_download.yml
gen011,gen011_strengthened,strengthened,not_weakened,no,proc_creation_win_certoc_download.yml
gen012,gen012_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_powershell_import_cert_susp_locations.yml
gen013,gen013_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_powershell_import_cert_susp_locations.yml
gen014,gen014_unchanged,unchanged,not_weakened,no,proc_creation_win_powershell_import_cert_susp_locations.yml
gen015,gen015_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_powershell_import_cert_susp_locations.yml
gen016,gen016_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_php_inline_command_execution.yml
gen017,gen017_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_php_inline_command_execution.yml
gen018,gen018_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_php_inline_command_execution.yml
gen019,gen019_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_php_inline_command_execution.yml
gen020,gen020_unchanged,unchanged,not_weakened,no,proc_creation_win_php_inline_command_execution.yml
gen021,gen021_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_php_inline_command_execution.yml
gen022,gen022_strengthened,strengthened,not_weakened,no,proc_creation_win_php_inline_command_execution.yml
gen023,gen023_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_netsh_fw_allow_rdp.yml
gen024,gen024_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_netsh_fw_allow_rdp.yml
gen025,gen025_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_netsh_fw_allow_rdp.yml
gen026,gen026_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_netsh_fw_allow_rdp.yml
gen027,gen027_unchanged,unchanged,not_weakened,no,proc_creation_win_netsh_fw_allow_rdp.yml
gen028,gen028_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_netsh_fw_allow_rdp.yml
gen029,gen029_strengthened,strengthened,not_weakened,no,proc_creation_win_netsh_fw_allow_rdp.yml
gen030,gen030_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_hktl_sharp_impersonation.yml
gen031,gen031_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_hktl_sharp_impersonation.yml
gen032,gen032_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_hktl_sharp_impersonation.yml
gen033,gen033_unchanged,unchanged,not_weakened,no,proc_creation_win_hktl_sharp_impersonation.yml
gen034,gen034_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_hktl_sharp_impersonation.yml
gen035,gen035_strengthened,strengthened,not_weakened,no,proc_creation_win_hktl_sharp_impersonation.yml
gen036,gen036_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_gup_download.yml
gen037,gen037_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_gup_download.yml
gen038,gen038_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_gup_download.yml
gen039,gen039_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_gup_download.yml
gen040,gen040_unchanged,unchanged,not_weakened,no,proc_creation_win_gup_download.yml
gen041,gen041_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_gup_download.yml
gen042,gen042_strengthened,strengthened,not_weakened,no,proc_creation_win_gup_download.yml
gen043,gen043_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_windows_terminal_susp_children.yml
gen044,gen044_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_windows_terminal_susp_children.yml
gen045,gen045_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_windows_terminal_susp_children.yml
gen046,gen046_unchanged,unchanged,not_weakened,no,proc_creation_win_windows_terminal_susp_children.yml
gen047,gen047_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_windows_terminal_susp_children.yml
gen048,gen048_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_explorer_nouaccheck.yml
gen049,gen049_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_explorer_nouaccheck.yml
gen050,gen050_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_explorer_nouaccheck.yml
gen051,gen051_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_explorer_nouaccheck.yml
gen052,gen052_unchanged,unchanged,not_weakened,no,proc_creation_win_explorer_nouaccheck.yml
gen053,gen053_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_explorer_nouaccheck.yml
gen054,gen054_strengthened,strengthened,not_weakened,no,proc_creation_win_explorer_nouaccheck.yml
gen055,gen055_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_security_susp_node_js_execution.yml
gen056,gen056_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_security_susp_node_js_execution.yml
gen057,gen057_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_security_susp_node_js_execution.yml
gen058,gen058_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_security_susp_node_js_execution.yml
gen059,gen059_unchanged,unchanged,not_weakened,no,proc_creation_win_security_susp_node_js_execution.yml
gen060,gen060_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_security_susp_node_js_execution.yml
gen061,gen061_strengthened,strengthened,not_weakened,no,proc_creation_win_security_susp_node_js_execution.yml
gen062,gen062_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_certutil_ntlm_coercion.yml
gen063,gen063_logsource_drift,logsource_drift,weakened,yes,proc_creation_win_certutil_ntlm_coercion.yml
gen064,gen064_added_exclusion,added_exclusion,weakened,yes,proc_creation_win_certutil_ntlm_coercion.yml
gen065,gen065_weakened_condition,weakened_condition,weakened,yes,proc_creation_win_certutil_ntlm_coercion.yml
gen066,gen066_unchanged,unchanged,not_weakened,no,proc_creation_win_certutil_ntlm_coercion.yml
gen067,gen067_cosmetic_edit,cosmetic_edit,not_weakened,no,proc_creation_win_certutil_ntlm_coercion.yml
gen068,gen068_strengthened,strengthened,not_weakened,no,proc_creation_win_certutil_ntlm_coercion.yml
gen069,gen069_narrowed_match,narrowed_match,weakened,yes,proc_creation_win_certutil_encode.yml
