rule_name,pattern,expected_flag,rule_based,llm,hybrid,outcome
gen001_logsource_drift,logsource_drift,yes,True,True,True,TP
gen002_added_exclusion,added_exclusion,yes,True,True,True,TP
gen003_unchanged,unchanged,no,False,,False,TN
gen004_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen005_narrowed_match,narrowed_match,yes,True,True,True,TP
gen006_logsource_drift,logsource_drift,yes,True,True,True,TP
gen007_added_exclusion,added_exclusion,yes,True,True,True,TP
gen008_weakened_condition,weakened_condition,yes,True,True,True,TP
gen009_unchanged,unchanged,no,False,,False,TN
gen010_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen011_strengthened,strengthened,no,True,False,False,TN
gen012_logsource_drift,logsource_drift,yes,True,True,True,TP
gen013_added_exclusion,added_exclusion,yes,True,True,True,TP
gen014_unchanged,unchanged,no,False,,False,TN
gen015_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen016_narrowed_match,narrowed_match,yes,True,True,True,TP
gen017_logsource_drift,logsource_drift,yes,True,True,True,TP
gen018_added_exclusion,added_exclusion,yes,True,True,True,TP
gen019_weakened_condition,weakened_condition,yes,True,True,True,TP
gen020_unchanged,unchanged,no,False,,False,TN
gen021_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen022_strengthened,strengthened,no,True,False,False,TN
gen023_narrowed_match,narrowed_match,yes,True,True,True,TP
gen024_logsource_drift,logsource_drift,yes,True,True,True,TP
gen025_added_exclusion,added_exclusion,yes,True,True,True,TP
gen026_weakened_condition,weakened_condition,yes,True,True,True,TP
gen027_unchanged,unchanged,no,False,,False,TN
gen028_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen029_strengthened,strengthened,no,True,False,False,TN
gen030_narrowed_match,narrowed_match,yes,True,True,True,TP
gen031_logsource_drift,logsource_drift,yes,True,True,True,TP
gen032_added_exclusion,added_exclusion,yes,True,True,True,TP
gen033_unchanged,unchanged,no,False,,False,TN
gen034_cosmetic_edit,cosmetic_edit,no,False,,False,TN
gen035_strengthened,strengthened,no,True,False,False,TN
gen036_narrowed_match,narrowed_match,yes,True,True,True,TP
