rule_name,pattern,expected_flag,llm_verdict,outcome
gen001_logsource_drift,logsource_drift,yes,True,TP
gen002_added_exclusion,added_exclusion,yes,True,TP
gen003_unchanged,unchanged,no,False,TN
gen004_cosmetic_edit,cosmetic_edit,no,False,TN
gen005_narrowed_match,narrowed_match,yes,True,TP
gen006_logsource_drift,logsource_drift,yes,True,TP
gen007_added_exclusion,added_exclusion,yes,True,TP
gen008_weakened_condition,weakened_condition,yes,True,TP
gen009_unchanged,unchanged,no,False,TN
gen010_cosmetic_edit,cosmetic_edit,no,False,TN
gen011_strengthened,strengthened,no,False,TN
gen012_logsource_drift,logsource_drift,yes,True,TP
gen013_added_exclusion,added_exclusion,yes,True,TP
gen014_unchanged,unchanged,no,False,TN
gen015_cosmetic_edit,cosmetic_edit,no,False,TN
gen016_narrowed_match,narrowed_match,yes,True,TP
gen017_logsource_drift,logsource_drift,yes,True,TP
gen018_added_exclusion,added_exclusion,yes,True,TP
gen019_weakened_condition,weakened_condition,yes,True,TP
gen020_unchanged,unchanged,no,False,TN
gen021_cosmetic_edit,cosmetic_edit,no,False,TN
gen022_strengthened,strengthened,no,False,TN
gen023_narrowed_match,narrowed_match,yes,True,TP
gen024_logsource_drift,logsource_drift,yes,True,TP
gen025_added_exclusion,added_exclusion,yes,True,TP
gen026_weakened_condition,weakened_condition,yes,True,TP
gen027_unchanged,unchanged,no,False,TN
gen028_cosmetic_edit,cosmetic_edit,no,False,TN
gen029_strengthened,strengthened,no,False,TN
gen030_narrowed_match,narrowed_match,yes,True,TP
gen031_logsource_drift,logsource_drift,yes,True,TP
gen032_added_exclusion,added_exclusion,yes,True,TP
gen033_unchanged,unchanged,no,False,TN
gen034_cosmetic_edit,cosmetic_edit,no,False,TN
gen035_strengthened,strengthened,no,False,TN
gen036_narrowed_match,narrowed_match,yes,True,TP
gen037_logsource_drift,logsource_drift,yes,True,TP
gen038_added_exclusion,added_exclusion,yes,True,TP
gen039_weakened_condition,weakened_condition,yes,True,TP
gen040_unchanged,unchanged,no,False,TN
gen041_cosmetic_edit,cosmetic_edit,no,False,TN
gen042_strengthened,strengthened,no,False,TN
gen043_logsource_drift,logsource_drift,yes,True,TP
gen044_added_exclusion,added_exclusion,yes,True,TP
gen045_weakened_condition,weakened_condition,yes,True,TP
gen046_unchanged,unchanged,no,False,TN
gen047_cosmetic_edit,cosmetic_edit,no,False,TN
gen048_narrowed_match,narrowed_match,yes,True,TP
gen049_logsource_drift,logsource_drift,yes,True,TP
gen050_added_exclusion,added_exclusion,yes,True,TP
gen051_weakened_condition,weakened_condition,yes,True,TP
gen052_unchanged,unchanged,no,False,TN
gen053_cosmetic_edit,cosmetic_edit,no,False,TN
gen054_strengthened,strengthened,no,False,TN
gen055_narrowed_match,narrowed_match,yes,True,TP
gen056_logsource_drift,logsource_drift,yes,True,TP
gen057_added_exclusion,added_exclusion,yes,True,TP
gen058_weakened_condition,weakened_condition,yes,True,TP
gen059_unchanged,unchanged,no,False,TN
gen060_cosmetic_edit,cosmetic_edit,no,False,TN
gen061_strengthened,strengthened,no,False,TN
gen062_narrowed_match,narrowed_match,yes,True,TP
gen063_logsource_drift,logsource_drift,yes,True,TP
gen064_added_exclusion,added_exclusion,yes,True,TP
gen065_weakened_condition,weakened_condition,yes,True,TP
gen066_unchanged,unchanged,no,False,TN
gen067_cosmetic_edit,cosmetic_edit,no,False,TN
gen068_strengthened,strengthened,no,False,TN
gen069_narrowed_match,narrowed_match,yes,True,TP
gen070_logsource_drift,logsource_drift,yes,True,TP
gen071_added_exclusion,added_exclusion,yes,True,TP
gen072_weakened_condition,weakened_condition,yes,True,TP
gen073_unchanged,unchanged,no,False,TN
gen074_cosmetic_edit,cosmetic_edit,no,False,TN
gen075_strengthened,strengthened,no,False,TN
gen076_narrowed_match,narrowed_match,yes,True,TP
gen077_logsource_drift,logsource_drift,yes,True,TP
gen078_added_exclusion,added_exclusion,yes,True,TP
gen079_weakened_condition,weakened_condition,yes,True,TP
gen080_unchanged,unchanged,no,False,TN
gen081_cosmetic_edit,cosmetic_edit,no,False,TN
gen082_strengthened,strengthened,no,False,TN
gen083_logsource_drift,logsource_drift,yes,True,TP
gen084_added_exclusion,added_exclusion,yes,True,TP
gen085_weakened_condition,weakened_condition,yes,True,TP
gen086_unchanged,unchanged,no,False,TN
gen087_cosmetic_edit,cosmetic_edit,no,False,TN
gen088_narrowed_match,narrowed_match,yes,True,TP
gen089_logsource_drift,logsource_drift,yes,True,TP
gen090_added_exclusion,added_exclusion,yes,True,TP
gen091_unchanged,unchanged,no,False,TN
gen092_cosmetic_edit,cosmetic_edit,no,False,TN
gen093_strengthened,strengthened,no,False,TN
gen094_logsource_drift,logsource_drift,yes,True,TP
gen095_added_exclusion,added_exclusion,yes,True,TP
gen096_unchanged,unchanged,no,False,TN
gen097_cosmetic_edit,cosmetic_edit,no,False,TN
